event,year,day_name,date,open_time,close_time
NYCC,2019,Thursday,2019-10-03,10:00,19:00
NYCC,2019,Friday,2019-10-04,10:00,19:00
NYCC,2019,Saturday,2019-10-05,10:00,19:00
NYCC,2019,Sunday,2019-10-06,10:00,17:00
NYCC,2020,Thursday,,,
NYCC,2020,Friday,,,
NYCC,2020,Saturday,,,
NYCC,2020,Sunday,,,
NYCC,2021,Thursday,2021-10-07,11:00,21:15
NYCC,2021,Friday,2021-10-08,10:00,19:00
NYCC,2021,Saturday,2021-10-09,10:00,19:00
NYCC,2021,Sunday,2021-10-10,10:00,17:00
NYCC,2022,Thursday,2022-10-06,10:00,19:00
NYCC,2022,Friday,2022-10-07,10:00,19:00
NYCC,2022,Saturday,2022-10-08,10:00,19:00
NYCC,2022,Sunday,2022-10-09,10:00,17:00
NYCC,2023,Thursday,2023-10-12,10:00,19:00
NYCC,2023,Friday,2023-10-13,10:00,19:00
NYCC,2023,Saturday,2023-10-14,10:00,19:00
NYCC,2023,Sunday,2023-10-15,10:00,17:00
NYCC,2024,Thursday,2024-10-10,10:00,19:00
NYCC,2024,Friday,2024-10-11,10:00,19:00
NYCC,2024,Saturday,2024-10-12,10:00,19:00
NYCC,2024,Sunday,2024-10-13,10:00,17:00
NYCC,2025,Thursday,2025-10-09,10:00,19:00
NYCC,2025,Friday,2025-10-10,10:00,19:00
NYCC,2025,Saturday,2025-10-11,10:00,19:00
NYCC,2025,Sunday,2025-10-12,10:00,17:00
AnimeNYC,2019,Friday,2019-11-15,13:00,19:00
AnimeNYC,2019,Saturday,2019-11-16,10:00,19:00
AnimeNYC,2019,Sunday,2019-11-17,10:00,17:00
AnimeNYC,2020,Friday,,,
AnimeNYC,2020,Saturday,,,
AnimeNYC,2020,Sunday,,,
AnimeNYC,2021,Friday,2021-11-19,13:00,22:00
AnimeNYC,2021,Saturday,2021-11-20,10:00,22:00
AnimeNYC,2021,Sunday,2021-11-21,10:00,17:00
AnimeNYC,2022,Friday,2022-11-18,13:00,19:00
AnimeNYC,2022,Saturday,2022-11-19,10:00,19:00
AnimeNYC,2022,Sunday,2022-11-20,10:00,17:00
AnimeNYC,2023,Friday,2023-11-17,14:00,20:00
AnimeNYC,2023,Saturday,2023-11-18,10:00,19:00
AnimeNYC,2023,Sunday,2023-11-19,10:00,16:00
AnimeNYC,2024,Friday,2024-08-23,11:00,19:00
AnimeNYC,2024,Saturday,2024-08-24,10:00,19:00
AnimeNYC,2024,Sunday,2024-08-25,10:00,17:00
AnimeNYC,2025,Thursday,2025-08-21,16:00,20:00
AnimeNYC,2025,Friday,2025-08-22,10:00,19:00
AnimeNYC,2025,Saturday,2025-08-23,10:00,19:00
AnimeNYC,2025,Sunday,2025-08-24,10:00,16:00
